time,speed
37:50.2,2.002016147
37:50.3,1.987178879
37:50.4,2.047292974
37:50.5,1.919653005
37:50.6,1.886944483
37:50.7,2.040061875
37:50.8,1.90353591
37:50.9,1.900784643
37:51.0,2.095799523
37:51.1,1.962081253
37:51.2,1.936104051
37:51.3,2.019685345
37:51.4,1.803948294
37:51.5,1.825042927
37:51.6,1.86366786
37:51.7,1.711054832
37:51.8,1.781400405
37:51.9,1.830704069
37:52.0,1.786956925
37:52.1,1.939637736
37:52.2,1.971377318
37:52.3,1.790315583
37:52.4,1.803101617
37:52.5,1.93403192
37:52.6,1.908717938
37:52.7,1.753431936
37:52.8,1.688822104
37:52.9,1.79363502
37:53.0,1.896667211
37:53.1,1.717852836
37:53.2,1.564605359
37:53.3,1.718957933
37:53.4,1.775767274
37:53.5,1.653656239
37:53.6,1.607728256
37:53.7,1.625064455
37:53.8,1.759637367
37:53.9,1.847626206
37:54.0,1.715039878
37:54.1,1.768866247
37:54.2,1.831175445
37:54.3,1.737377604
37:54.4,1.737092118
37:54.5,1.722424526
37:54.6,1.600948826
37:54.7,1.585435338
37:54.8,1.666035335
37:54.9,1.628756902
37:55.0,1.587048292
37:55.1,1.550783707
37:55.2,1.530441176
37:55.3,1.614004468
37:55.4,1.555191752
37:55.5,1.41908013
37:55.6,1.520376228
37:55.7,1.562080568
37:55.8,1.533800135
37:55.9,1.599717075
37:56.0,1.594042039
37:56.1,1.620920041
37:56.2,1.593085731
37:56.3,1.541888238
37:56.4,1.582383366
37:56.5,1.546934226
37:56.6,1.528856847
37:56.7,1.570360397
37:56.8,1.535488223
37:56.9,1.491305914
37:57.0,1.495536311
37:57.1,1.466036342
37:57.2,1.405145056
37:57.3,1.346053843
37:57.4,1.271653752
37:57.5,1.295347828
37:57.6,1.339522065
37:57.7,1.293875748
37:57.8,1.311589771
37:57.9,1.380383148
37:58.0,1.378502731
37:58.1,1.365931836
37:58.2,1.392068991
37:58.3,1.454522907
37:58.4,1.460787121
37:58.5,1.402075105
37:58.6,1.344683299
37:58.7,1.27554736
37:58.8,1.310836521
37:58.9,1.298592029
37:59.0,1.200377638
37:59.1,1.166757759
37:59.2,1.181702742
37:59.3,1.302161395
37:59.4,1.388137513
37:59.5,1.279023654
37:59.6,1.293547379
37:59.7,1.400907399
37:59.8,1.394452783
37:59.9,1.41170173
38:00.0,1.302401678
38:00.1,1.183475329
38:00.2,1.268705152
38:00.3,1.225013564
38:00.4,1.109622803
38:00.5,1.154246695
38:00.6,1.15473481
38:00.7,1.15869007
38:00.8,1.300345851
38:00.9,1.313071461
38:01.0,1.230897699
38:01.1,1.280507874
38:01.2,1.230196343
38:01.3,1.150908309
38:01.4,1.207458918
38:01.5,1.117075951
38:01.6,1.064114184
38:01.7,1.145876163
38:01.8,1.137812063
38:01.9,1.193224557
38:02.0,1.241033697
38:02.1,1.20444914
38:02.2,1.211420695
38:02.3,1.178934171
38:02.4,1.201450128
38:02.5,1.25594454
38:02.6,1.193553162
38:02.7,1.146230995
38:02.8,1.209814465
38:02.9,1.29131359
38:03.0,1.245360279
38:03.1,1.109240123
38:03.2,1.068146237
38:03.3,1.145751718
38:03.4,1.152987263
38:03.5,1.111453262
38:03.6,1.139108972
38:03.7,1.201224061
38:03.8,1.276618757
38:03.9,1.254413683
38:04.0,1.176487573
38:04.1,1.199939814
38:04.2,1.128638088
38:04.3,0.93953553
38:04.4,0.970056232
38:04.5,1.061128274
38:04.6,1.01297769
38:04.7,1.050436749
38:04.8,1.056647864
38:04.9,1.0373596
38:05.0,1.159326663
38:05.1,1.104023214
38:05.2,1.043240235
38:05.3,1.133854055
38:05.4,1.107266636
38:05.5,1.071059544
38:05.6,1.044422307
38:05.7,1.034290329
38:05.8,1.107849288
38:05.9,1.127643835
38:06.0,1.058009319
38:06.1,1.005745965
38:06.2,1.113945343
38:06.3,1.214112929
38:06.4,1.07074194
38:06.5,1.035882011
38:06.6,1.010853424
38:06.7,1.024347735
38:06.8,1.169473459
38:06.9,1.036441907
38:07.0,0.930254253
38:07.1,1.06584812
38:07.2,1.068998844
38:07.3,1.065529219
38:07.4,1.064177558
38:07.5,0.901090673
38:07.6,0.951743811
38:07.7,1.135294133
38:07.8,1.10228652
38:07.9,1.023677609
38:08.0,1.005184048
38:08.1,0.96751975
38:08.2,0.972385973
38:08.3,0.990964489
38:08.4,0.908399434
38:08.5,0.944845932
38:08.6,0.999097337
38:08.7,0.982966469
38:08.8,1.07645338
38:08.9,1.217200211
38:09.0,1.219322
38:09.1,1.216992672
38:09.2,1.2095662489999999
38:09.3,1.216236955
38:09.4,1.219182709
38:09.5,1.206788751
38:09.6,1.202177801
38:09.7,1.193065195
38:09.8,1.189161317
38:09.9,1.198565683
38:10.0,1.196266472
38:10.1,1.187460323
38:10.2,1.1923489054999998
38:10.3,1.188190408
38:10.4,1.1778517110000002
38:10.5,1.169946039
38:10.6,1.186496559
38:10.7,1.186530717
38:10.8,1.1928602000000001
38:10.9,1.196542985
38:11.0,1.196379024
38:11.1,1.185098214
38:11.2,1.191079648
38:11.3,1.189840988
38:11.4,1.185500385
38:11.5,1.184803052
38:11.6,1.1722286825000001
38:11.7,1.164883769
38:11.8,1.1561113829999998
38:11.9,1.1561400974999998
38:12.0,1.15673883
38:12.1,1.1663895014999999
38:12.2,1.1720090074999998
38:12.3,1.171237966
38:12.4,1.184885881
38:12.5,1.193004586
38:12.6,1.1962899285000002
38:12.7,1.191196873
38:12.8,1.194391108
38:12.9,1.186112254
38:13.0,1.186708396
38:13.1,1.1865875940000001
38:13.2,1.198145895
38:13.3,1.198815341
38:13.4,1.196881794
38:13.5,1.194977382
38:13.6,1.200919528
38:13.7,1.1908118435000001
38:13.8,1.195854924
38:13.9,1.209059773
38:14.0,1.208840489
38:14.1,1.21252009
38:14.2,1.212430666
38:14.3,1.2118709509999999
38:14.4,1.199879935
38:14.5,1.19950927
38:14.6,1.198577311
38:14.7,1.203582446
38:14.8,1.2048711595000001
38:14.9,1.201136415
38:15.0,1.1954505
38:15.1,1.1931636485000001
38:15.2,1.188544135
38:15.3,1.181422339
38:15.4,1.190876633
38:15.5,1.1989061515000001
38:15.6,1.1962821479999999
38:15.7,1.199286381
38:15.8,1.198771399
38:15.9,1.193441404
38:16.0,1.188134616
38:16.1,1.184520594
38:16.2,1.185065196
